FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
path=1822279900/api=apps/v1//StatefulSet/argocd-application-controller,High,Writable hostPath mount,0,1,1.0
path=1822279900/api=apps/v1//StatefulSet/argocd-application-controller,High,Insecure capabilities,0,1,1.0
path=968033596/api=apps/v1//Deployment/argocd-applicationset-controller,High,Writable hostPath mount,0,1,1.0
path=968033596/api=apps/v1//Deployment/argocd-applicationset-controller,High,Insecure capabilities,0,1,1.0
path=1405774741/api=apps/v1/openshift-monitoring/Deployment/pyrra-kubernetes,High,Writable hostPath mount,0,1,1.0
path=1405774741/api=apps/v1/openshift-monitoring/Deployment/pyrra-kubernetes,High,Insecure capabilities,0,1,1.0
path=157929365/api=apps/v1//Deployment/pgo,High,Writable hostPath mount,0,1,1.0
path=157929365/api=apps/v1//Deployment/pgo,High,Insecure capabilities,0,1,1.0
path=4098658857/api=apps/v1/sock-shop/Deployment/carts,High,Writable hostPath mount,0,1,1.0
path=4098658857/api=apps/v1/sock-shop/Deployment/carts,High,Insecure capabilities,0,1,1.0
path=861020053/api=apps/v1/kong/Deployment/proxy-kong,High,Writable hostPath mount,0,1,1.0
path=861020053/api=apps/v1/kong/Deployment/proxy-kong,High,Insecure capabilities,0,1,1.0
path=1825174755/api=apps/v1//Deployment/ratings-v2,High,Writable hostPath mount,0,1,1.0
path=1825174755/api=apps/v1//Deployment/ratings-v2,High,Insecure capabilities,0,1,1.0
path=2627821586/api=apps/v1/flux-system/Deployment/credentials-sync,High,Writable hostPath mount,0,1,1.0
path=2627821586/api=apps/v1/flux-system/Deployment/credentials-sync,High,Insecure capabilities,0,1,1.0
path=2708849797/api=apps/v1/flux-system/Deployment/credentials-sync,High,Writable hostPath mount,0,1,1.0
path=2708849797/api=apps/v1/flux-system/Deployment/credentials-sync,High,Insecure capabilities,0,1,1.0
path=2963601489/api=apps/v1//Deployment/liveness-http,High,Writable hostPath mount,0,1,1.0
path=2963601489/api=apps/v1//Deployment/liveness-http,High,Insecure capabilities,0,1,1.0
path=2752529303/api=apps/v1//Deployment/reviews-v1,High,Writable hostPath mount,0,1,1.0
path=2752529303/api=apps/v1//Deployment/reviews-v1,High,Insecure capabilities,0,1,1.0
path=4183595350/api=/v1//Pod/sample-app-pod,High,Writable hostPath mount,0,1,1.0
path=4183595350/api=/v1//Pod/sample-app-pod,High,Insecure capabilities,0,1,1.0
path=1839955011/api=apps/v1/monitoring/Deployment/prometheus-deployment,High,Writable hostPath mount,0,1,1.0
path=1839955011/api=apps/v1/monitoring/Deployment/prometheus-deployment,High,Insecure capabilities,0,1,1.0
path=2960340052/api=apps/v1//Deployment/redis,High,Writable hostPath mount,0,1,1.0
path=2960340052/api=apps/v1//Deployment/redis,High,Insecure capabilities,0,1,1.0
path=755007494/api=apps/v1//Deployment/opentelemetry-collector,High,Writable hostPath mount,0,1,1.0
path=755007494/api=apps/v1//Deployment/opentelemetry-collector,High,Insecure capabilities,0,1,1.0
path=464344698/api=apps/v1/kong/Deployment/ingress-kong,High,Writable hostPath mount,0,1,1.0
path=464344698/api=apps/v1/kong/Deployment/ingress-kong,High,Insecure capabilities,0,1,1.0
path=4232516004/api=apps/v1//Deployment/grafana-operator-controller-manager,High,Writable hostPath mount,0,1,1.0
path=4232516004/api=apps/v1//Deployment/grafana-operator-controller-manager,High,Insecure capabilities,0,1,1.0
path=3957626901/api=apps/v1//Deployment/workflow-controller,High,Writable hostPath mount,0,1,1.0
path=3957626901/api=apps/v1//Deployment/workflow-controller,High,Insecure capabilities,0,1,1.0
path=983238291/api=apps/v1//Deployment/pgo,High,Writable hostPath mount,0,1,1.0
path=983238291/api=apps/v1//Deployment/pgo,High,Insecure capabilities,0,1,1.0
path=3905825958/api=apps/v1/argocd/StatefulSet/argocd-redis-ha-server,High,Writable hostPath mount,0,1,1.0
path=3905825958/api=apps/v1/argocd/StatefulSet/argocd-redis-ha-server,High,Insecure capabilities,0,1,1.0
path=1561294184/api=apps/v1/default/Deployment/longhorn-test-nfs,High,Writable hostPath mount,0,1,1.0
